Model,Precision@10,Recall@10,NDCG@10
XGBoost,0.6772417707150966,0.2383400358916392,0.7111610395988329
LightGBM,0.6785471055618616,0.2376605743591027,0.7113140553905224
Stacking,0.6803632236095346,0.23940941429286727,0.7133896427688093
Baseline,0.6381952326901249,0.2219080582385684,0.6743361831452969
