Model,Accuracy,Precision,Recall,F1,ROC-AUC
XGBoost,0.5747099723963917,0.5618789372774582,0.9136832916150756,0.6958424210765541,0.5931419564060116
LightGBM,0.5616243442957286,0.5517473504041579,0.9418497964564719,0.6958544755737198,0.608139590490741
Stacking,0.5785232543800571,0.5637180674328667,0.9218962952405555,0.6996292052418278,0.5996876395536725
